Surname Name Avg
Surname1088 Name1088 4.72
Surname1089 Name1089 4.18
Surname1091 Name1091 4.88
Surname1093 Name1093 4.08
Surname1095 Name1095 2.78
Surname1096 Name1096 3.44
Surname1097 Name1097 4.72
Surname1098 Name1098 4.18
Surname1100 Name1100 2.84
Surname1107 Name1107 2.14
Surname1111 Name1111 3.22
Surname1113 Name1113 3.04
Surname1114 Name1114 4.24
Surname1115 Name1115 4.48
Surname1120 Name1120 4.60
Surname1123 Name1123 2.44
Surname1125 Name1125 3.02
Surname1126 Name1126 3.50
Surname1128 Name1128 2.72
Surname1129 Name1129 4.78
Surname1130 Name1130 3.30
Surname1133 Name1133 2.32
Surname1134 Name1134 4.42
Surname1135 Name1135 3.08
Surname1136 Name1136 3.16
Surname1138 Name1138 4.52
Surname1142 Name1142 4.58
Surname1143 Name1143 3.24
Surname1144 Name1144 3.72
Surname1145 Name1145 2.02
Surname1146 Name1146 3.50
Surname1151 Name1151 4.54
Surname1156 Name1156 3.14
Surname1159 Name1159 4.76
Surname1160 Name1160 3.36
Surname1161 Name1161 4.18
Surname1165 Name1165 3.20
Surname1167 Name1167 4.08
Surname1169 Name1169 1.72
Surname1170 Name1170 3.84
Surname1171 Name1171 2.14
Surname1174 Name1174 4.24
Surname1176 Name1176 2.62
Surname1178 Name1178 4.42
Surname1180 Name1180 3.32
Surname1181 Name1181 4.48
Surname1184 Name1184 2.26
Surname1187 Name1187 4.48
Surname1190 Name1190 3.68
Surname1192 Name1192 2.90
Surname1194 Name1194 3.94
Surname1195 Name1195 4.54
Surname1196 Name1196 4.00
Surname1197 Name1197 2.08
Surname1202 Name1202 4.20
Surname1203 Name1203 4.84
Surname1205 Name1205 3.88
Surname1206 Name1206 3.72
Surname1214 Name1214 2.02
Surname1216 Name1216 3.78
Surname1218 Name1218 3.48
Surname1219 Name1219 3.90
Surname1221 Name1221 2.08
Surname1223 Name1223 4.00
Surname1225 Name1225 2.20
Surname1228 Name1228 4.30
Surname1231 Name1231 3.26
Surname1232 Name1232 3.18
Surname1233 Name1233 2.02
Surname1234 Name1234 3.56
Surname1235 Name1235 2.72
Surname1236 Name1236 2.68
Surname1239 Name1239 2.80
Surname1240 Name1240 4.46
Surname1241 Name1241 3.46
Surname1242 Name1242 4.26
Surname1246 Name1246 4.20
Surname1249 Name1249 3.42
Surname1251 Name1251 3.54
Surname1255 Name1255 3.94
Surname1258 Name1258 2.08
Surname1259 Name1259 4.06
Surname1260 Name1260 3.36
Surname1265 Name1265 2.74
Surname1269 Name1269 3.08
Surname1271 Name1271 4.02
Surname1276 Name1276 4.78
Surname1280 Name1280 3.94
Surname1281 Name1281 4.96
Surname1287 Name1287 3.02
Surname1289 Name1289 2.72
Surname1298 Name1298 1.90
Surname1299 Name1299 3.32
Surname1300 Name1300 2.20
Surname1301 Name1301 2.02
Surname1302 Name1302 4.38
Surname1308 Name1308 2.38
Surname1311 Name1311 4.06
Surname1317 Name1317 4.60
Surname1318 Name1318 2.32
Surname1319 Name1319 2.48
Surname1321 Name1321 4.18
Surname1322 Name1322 3.32
Surname1327 Name1327 4.02
Surname1328 Name1328 4.70
Surname1331 Name1331 4.02
Surname1332 Name1332 2.96
Surname1334 Name1334 4.36
Surname1335 Name1335 3.66
Surname1339 Name1339 3.50
Surname1340 Name1340 2.96
Surname1341 Name1341 2.96
Surname1342 Name1342 4.36
Surname1344 Name1344 2.08
Surname1346 Name1346 2.90
Surname1349 Name1349 2.36
Surname1355 Name1355 2.02
Surname1357 Name1357 4.60
Surname1359 Name1359 4.52
Surname1367 Name1367 2.66
Surname1369 Name1369 3.26
Surname1370 Name1370 4.82
Surname1371 Name1371 1.84
Surname1372 Name1372 4.72
Surname1373 Name1373 3.66
Surname1374 Name1374 4.54
Surname1375 Name1375 4.36
Surname1376 Name1376 4.78
Surname1379 Name1379 3.96
Surname1380 Name1380 3.50
Surname1381 Name1381 3.56
Surname1389 Name1389 3.30
Surname1394 Name1394 4.76
Surname1395 Name1395 4.36
Surname1398 Name1398 3.56
Surname1399 Name1399 4.82
Surname1400 Name1400 3.50
Surname1402 Name1402 3.54
Surname1407 Name1407 3.14
Surname1408 Name1408 2.96
Surname1411 Name1411 3.02
Surname1412 Name1412 2.90
Surname1416 Name1416 4.60
Surname1418 Name1418 2.96
Surname1419 Name1419 2.86
Surname1420 Name1420 4.36
Surname1422 Name1422 2.20
Surname1423 Name1423 1.90
Surname1424 Name1424 4.36
Surname1425 Name1425 3.18
Surname1428 Name1428 2.62
Surname1432 Name1432 4.20
Surname1433 Name1433 4.30
Surname1436 Name1436 2.44
Surname1439 Name1439 4.42
Surname1440 Name1440 2.96
Surname1443 Name1443 3.60
Surname1447 Name1447 4.08
Surname1449 Name1449 4.12
Surname1458 Name1458 2.14
Surname1460 Name1460 3.08
Surname1465 Name1465 4.88
Surname1466 Name1466 1.96
Surname1468 Name1468 3.60
Surname1477 Name1477 3.72
Surname1480 Name1480 2.68
Surname1485 Name1485 2.26
Surname1490 Name1490 4.46
Surname1491 Name1491 2.44
Surname1494 Name1494 4.02
Surname1495 Name1495 2.78
Surname1496 Name1496 4.08
Surname1499 Name1499 4.82
Surname1501 Name1501 2.96
Surname1504 Name1504 2.48
Surname1506 Name1506 4.78
Surname1509 Name1509 3.84
Surname1510 Name1510 4.02
Surname1512 Name1512 3.60
Surname1514 Name1514 2.90
Surname1516 Name1516 2.80
Surname1519 Name1519 2.50
Surname1535 Name1535 3.52
Surname1536 Name1536 2.78
Surname1537 Name1537 4.94
Surname1540 Name1540 2.92
Surname1548 Name1548 3.60
Surname1549 Name1549 4.70
Surname1550 Name1550 2.72
Surname1552 Name1552 4.02
Surname1555 Name1555 4.66
Surname1559 Name1559 2.20
Surname1561 Name1561 3.44
Surname1562 Name1562 3.84
Surname1563 Name1563 3.60
Surname1564 Name1564 4.58
Surname1566 Name1566 1.66
Surname1569 Name1569 2.54
Surname1571 Name1571 2.74
Surname1573 Name1573 2.68
Surname1574 Name1574 3.26
Surname1575 Name1575 4.76
Surname1577 Name1577 4.96
Surname1578 Name1578 4.72
Surname1580 Name1580 3.08
Surname1581 Name1581 4.42
Surname1582 Name1582 4.88
Surname1583 Name1583 4.64
Surname1584 Name1584 4.12
Surname1589 Name1589 3.08
Surname1590 Name1590 3.02
Surname1592 Name1592 4.18
Surname1593 Name1593 2.74
Surname1596 Name1596 3.72
Surname1600 Name1600 4.34
Surname1604 Name1604 3.80
Surname1605 Name1605 3.66
Surname1606 Name1606 4.36
Surname1607 Name1607 3.08
Surname1608 Name1608 3.36
Surname1611 Name1611 2.02
Surname1612 Name1612 2.26
Surname1613 Name1613 2.92
Surname1614 Name1614 3.18
Surname1615 Name1615 3.50
Surname1616 Name1616 3.78
Surname1619 Name1619 3.26
Surname1623 Name1623 2.90
Surname1628 Name1628 3.16
Surname1629 Name1629 2.90
Surname1630 Name1630 3.14
Surname1638 Name1638 2.90
Surname1639 Name1639 1.78
Surname1640 Name1640 4.24
Surname1641 Name1641 1.90
Surname1642 Name1642 2.94
Surname1646 Name1646 3.72
Surname1647 Name1647 2.14
Surname1649 Name1649 2.36
Surname1654 Name1654 3.56
Surname1657 Name1657 2.66
Surname1661 Name1661 2.08
Surname1663 Name1663 2.50
Surname1664 Name1664 3.14
Surname1665 Name1665 2.48
Surname1667 Name1667 1.84
Surname1668 Name1668 4.56
Surname1669 Name1669 3.88
Surname1672 Name1672 2.78
Surname1674 Name1674 3.02
Surname1677 Name1677 3.82
Surname1679 Name1679 2.90
Surname1681 Name1681 1.66
Surname1682 Name1682 1.54
Surname1683 Name1683 2.26
Surname1684 Name1684 4.60
Surname1686 Name1686 2.90
Surname1687 Name1687 3.26
Surname1688 Name1688 4.54
Surname1689 Name1689 4.88
Surname1690 Name1690 4.06
Surname1697 Name1697 2.90
Surname1703 Name1703 3.78
Surname1704 Name1704 2.32
Surname1708 Name1708 2.72
Surname1709 Name1709 2.30
Surname1711 Name1711 2.56
Surname1713 Name1713 3.54
Surname1716 Name1716 2.92
Surname1718 Name1718 2.50
Surname1719 Name1719 3.08
Surname1720 Name1720 4.60
Surname1722 Name1722 3.90
Surname1723 Name1723 3.06
Surname1724 Name1724 2.42
Surname1725 Name1725 3.66
Surname1727 Name1727 4.96
Surname1729 Name1729 3.32
Surname1730 Name1730 4.84
Surname1735 Name1735 1.96
Surname1740 Name1740 3.78
Surname1742 Name1742 3.20
Surname1745 Name1745 3.38
Surname1750 Name1750 3.84
Surname1752 Name1752 3.22
Surname1753 Name1753 3.94
Surname1758 Name1758 4.36
Surname1759 Name1759 2.08
Surname1760 Name1760 4.24
Surname1761 Name1761 2.20
Surname1762 Name1762 4.66
Surname1766 Name1766 2.38
Surname1769 Name1769 4.12
Surname1771 Name1771 4.78
Surname1772 Name1772 2.80
Surname1774 Name1774 3.14
Surname1776 Name1776 2.18
Surname1777 Name1777 1.84
Surname1779 Name1779 2.36
Surname1781 Name1781 4.84
Surname1783 Name1783 3.42
Surname1785 Name1785 4.84
Surname1788 Name1788 3.96
Surname1789 Name1789 4.06
Surname1790 Name1790 2.78
Surname1793 Name1793 2.32
Surname1796 Name1796 3.36
Surname1799 Name1799 3.62
Surname1801 Name1801 2.66
Surname1809 Name1809 2.84
Surname1812 Name1812 2.72
Surname1814 Name1814 3.32
Surname1815 Name1815 3.54
Surname1816 Name1816 3.54
Surname1818 Name1818 2.96
Surname1821 Name1821 2.42
Surname1822 Name1822 2.32
Surname1823 Name1823 4.84
Surname1824 Name1824 4.02
Surname1826 Name1826 4.52
Surname1833 Name1833 4.30
Surname1834 Name1834 2.84
Surname1835 Name1835 4.94
Surname1837 Name1837 4.24
Surname1847 Name1847 2.20
Surname1848 Name1848 4.72
Surname1850 Name1850 4.12
Surname1851 Name1851 3.54
Surname1854 Name1854 3.96
Surname1856 Name1856 3.42
Surname1861 Name1861 4.08
Surname1862 Name1862 4.02
Surname1864 Name1864 3.44
Surname1865 Name1865 4.90
Surname1868 Name1868 3.02
Surname1869 Name1869 4.18
Surname1870 Name1870 2.02
Surname1875 Name1875 3.94
Surname1879 Name1879 2.08
Surname1881 Name1881 4.72
Surname1882 Name1882 2.32
Surname1883 Name1883 3.26
Surname1885 Name1885 3.44
Surname1887 Name1887 4.30
Surname1889 Name1889 2.68
Surname1896 Name1896 4.66
Surname1897 Name1897 4.66
Surname1898 Name1898 3.62
Surname1900 Name1900 2.54
Surname1901 Name1901 3.30
Surname1902 Name1902 2.20
Surname1906 Name1906 4.48
Surname1907 Name1907 4.42
Surname1908 Name1908 4.30
Surname1912 Name1912 2.72
Surname1913 Name1913 4.24
Surname1914 Name1914 3.38
Surname1915 Name1915 3.84
Surname1916 Name1916 2.44
Surname1917 Name1917 4.24
Surname1919 Name1919 3.72
Surname1921 Name1921 3.96
Surname1922 Name1922 3.36
Surname1924 Name1924 2.44
Surname1926 Name1926 2.08
Surname1927 Name1927 1.72
Surname1928 Name1928 3.30
Surname1929 Name1929 4.24
Surname1931 Name1931 3.84
Surname1934 Name1934 4.36
Surname1936 Name1936 4.94
Surname1937 Name1937 4.72
Surname1938 Name1938 4.96
Surname1940 Name1940 4.36
Surname1944 Name1944 2.38
Surname1947 Name1947 3.74
Surname1948 Name1948 3.60
Surname1953 Name1953 2.96
Surname1955 Name1955 4.54
Surname1956 Name1956 3.32
Surname1957 Name1957 4.84
Surname1958 Name1958 2.96
Surname1960 Name1960 1.84
Surname1962 Name1962 3.02
Surname1963 Name1963 2.20
Surname1964 Name1964 3.78
Surname1967 Name1967 3.66
Surname1971 Name1971 4.66
Surname1973 Name1973 4.30
Surname1976 Name1976 3.72
Surname1977 Name1977 2.44
Surname1979 Name1979 3.96
Surname1985 Name1985 3.32
Surname1986 Name1986 4.88
Surname1989 Name1989 4.42
Surname1995 Name1995 4.12
Surname1997 Name1997 2.14
Surname1998 Name1998 3.36
Surname2000 Name2000 2.08
Surname2001 Name2001 3.20
Surname2002 Name2002 4.78
Surname2003 Name2003 3.78
Surname2004 Name2004 2.32
Surname2009 Name2009 4.18
Surname2010 Name2010 3.32
Surname2012 Name2012 3.72
Surname2013 Name2013 3.60
Surname2018 Name2018 4.96
Surname2020 Name2020 3.02
Surname2021 Name2021 4.72
Surname2024 Name2024 2.20
Surname2028 Name2028 3.02
Surname2029 Name2029 4.02
Surname2033 Name2033 4.54
Surname2036 Name2036 2.30
Surname2037 Name2037 3.60
Surname2040 Name2040 4.60
Surname2043 Name2043 2.38
Surname2044 Name2044 4.32
Surname2049 Name2049 3.72
Surname2050 Name2050 3.50
Surname2051 Name2051 4.38
Surname2052 Name2052 2.14
Surname2056 Name2056 3.54
Surname2057 Name2057 1.96
Surname2058 Name2058 4.60
Surname2061 Name2061 2.02
Surname2062 Name2062 2.92
Surname2064 Name2064 4.18
Surname2065 Name2065 4.42
Surname2070 Name2070 2.38
Surname2076 Name2076 4.66
Surname2077 Name2077 3.84
Surname2079 Name2079 3.44
Surname2080 Name2080 3.78
Surname2085 Name2085 2.48
Surname2086 Name2086 3.06
Surname2087 Name2087 3.26
Surname2089 Name2089 3.82
Surname2091 Name2091 3.14
Surname2097 Name2097 4.12
Surname2098 Name2098 2.78
Surname2103 Name2103 3.82
Surname2110 Name2110 2.80
Surname2114 Name2114 3.48
Surname2117 Name2117 2.38
Surname2118 Name2118 4.24
Surname2121 Name2121 2.80
Surname2124 Name2124 4.52
Surname2126 Name2126 3.42
Surname2127 Name2127 3.14
Surname2129 Name2129 3.62
Surname2133 Name2133 3.92
Surname2134 Name2134 2.60
Surname2136 Name2136 4.78
Surname2138 Name2138 2.50
Surname2141 Name2141 3.54
Surname2142 Name2142 2.88
Surname2147 Name2147 4.18
Surname2148 Name2148 4.52
Surname2151 Name2151 3.20
Surname2155 Name2155 1.90
Surname2158 Name2158 2.44
Surname2160 Name2160 4.48
Surname2163 Name2163 2.26
Surname2165 Name2165 3.10
Surname2169 Name2169 2.96
Surname2170 Name2170 4.56
Surname2172 Name2172 4.14
Surname2173 Name2173 3.60
Surname2174 Name2174 4.78
Surname2185 Name2185 4.78
Surname2186 Name2186 2.54
Surname2188 Name2188 3.90
Surname2193 Name2193 2.50
Surname2195 Name2195 2.90
Surname2198 Name2198 1.96
Surname2202 Name2202 3.14
Surname2205 Name2205 3.26
Surname2206 Name2206 4.88
Surname2207 Name2207 3.76
Surname2216 Name2216 3.24
Surname2218 Name2218 4.96
Surname2219 Name2219 2.14
Surname2221 Name2221 4.88
Surname2226 Name2226 3.32
Surname2227 Name2227 4.12
Surname2233 Name2233 4.58
Surname2235 Name2235 3.42
Surname2237 Name2237 3.78
Surname2239 Name2239 4.12
Surname2240 Name2240 2.44
Surname2243 Name2243 2.78
Surname2244 Name2244 2.24
Surname2246 Name2246 3.42
Surname2247 Name2247 4.24
Surname2249 Name2249 4.24
Surname2250 Name2250 2.44
Surname2254 Name2254 4.38
Surname2257 Name2257 4.42
Surname2260 Name2260 4.06
Surname2262 Name2262 3.30
Surname2263 Name2263 3.00
Surname2264 Name2264 4.82
Surname2267 Name2267 4.20
Surname2270 Name2270 2.20
Surname2271 Name2271 2.80
Surname2274 Name2274 4.30
Surname2275 Name2275 2.32
Surname2277 Name2277 3.52
Surname2283 Name2283 2.90
Surname2285 Name2285 3.84
Surname2292 Name2292 3.60
Surname2293 Name2293 2.20
Surname2294 Name2294 4.84
Surname2298 Name2298 4.76
Surname2301 Name2301 4.48
Surname2302 Name2302 4.48
Surname2303 Name2303 3.56
Surname2306 Name2306 4.10
Surname2314 Name2314 3.78
Surname2315 Name2315 1.72
