Surname Name HW1 HW2 HW3 HW4 HW5 Exam
Surname227 Name227 10 10 9 1 10 6
Surname228 Name228 4 7 10 10 8 8
Surname229 Name229 5 6 4 10 4 5
Surname230 Name230 2 3 8 5 8 6
Surname231 Name231 2 3 1 4 10 9
Surname232 Name232 4 4 2 1 6 2
Surname233 Name233 4 1 2 8 4 10
Surname234 Name234 10 1 6 6 5 5
Surname235 Name235 3 10 7 10 1 9
Surname236 Name236 4 6 2 3 10 7
Surname237 Name237 5 1 7 2 6 5
Surname238 Name238 6 4 1 2 7 4
Surname239 Name239 3 5 9 8 5 8
Surname240 Name240 1 6 8 6 1 1
Surname241 Name241 2 5 3 4 7 1
Surname242 Name242 1 1 1 5 3 4
Surname243 Name243 3 9 5 2 1 2
Surname244 Name244 5 2 4 4 7 7
Surname245 Name245 1 7 2 5 3 4
Surname246 Name246 9 10 10 7 1 1
Surname247 Name247 2 3 7 1 2 6
Surname248 Name248 3 8 2 6 5 7
Surname249 Name249 3 9 6 7 2 10
Surname250 Name250 8 8 9 7 4 1
Surname251 Name251 9 6 9 8 6 4
Surname252 Name252 4 7 9 5 10 8
Surname253 Name253 5 5 10 8 1 9
Surname254 Name254 5 6 2 6 3 4
Surname255 Name255 9 3 8 1 9 3
Surname256 Name256 3 6 10 7 2 6
Surname257 Name257 8 6 3 9 2 9
Surname258 Name258 8 8 10 8 3 7
Surname259 Name259 10 10 7 1 2 8
Surname260 Name260 9 4 4 5 9 4
Surname261 Name261 6 4 9 7 3 4
Surname262 Name262 9 9 4 5 1 6
Surname263 Name263 7 6 4 4 8 5
Surname264 Name264 5 2 1 2 1 9
Surname265 Name265 6 3 4 2 8 8
Surname266 Name266 3 3 7 9 4 9
Surname267 Name267 10 2 6 6 9 5
Surname268 Name268 3 6 10 2 4 7
Surname269 Name269 5 5 7 9 10 8
Surname270 Name270 4 5 3 10 1 10
Surname271 Name271 1 8 1 7 2 9
Surname272 Name272 10 8 3 6 4 6
Surname273 Name273 9 10 3 7 9 5
Surname274 Name274 10 4 9 8 8 4
Surname275 Name275 1 5 3 9 6 10
Surname276 Name276 6 1 1 6 5 2
Surname277 Name277 4 7 5 2 3 7
Surname278 Name278 4 10 1 1 10 1
Surname279 Name279 5 8 6 9 1 7
Surname280 Name280 2 3 10 8 6 8
Surname281 Name281 6 1 3 4 10 4
Surname282 Name282 5 3 5 2 3 2
Surname283 Name283 1 9 2 3 4 9
Surname284 Name284 3 1 5 3 5 8
Surname285 Name285 4 8 1 5 5 3
Surname286 Name286 2 7 2 8 6 3
Surname287 Name287 4 1 10 8 6 7
Surname288 Name288 7 4 6 5 9 2
Surname289 Name289 6 10 9 2 6 5
Surname290 Name290 3 4 6 6 10 3
Surname291 Name291 4 1 9 3 1 6
Surname292 Name292 1 3 3 10 10 4
Surname293 Name293 9 5 5 8 7 2
Surname294 Name294 3 10 9 9 9 5
Surname295 Name295 4 10 2 7 5 3
Surname296 Name296 7 9 1 8 4 5
Surname297 Name297 8 5 3 10 5 6
Surname298 Name298 10 6 1 6 3 1
Surname299 Name299 1 6 8 5 3 1
Surname300 Name300 4 5 2 4 9 1
Surname301 Name301 4 4 9 1 4 2
Surname302 Name302 4 2 2 10 10 3
Surname303 Name303 9 3 6 4 10 4
Surname304 Name304 5 9 7 2 7 10
Surname305 Name305 6 2 6 10 4 9
Surname306 Name306 3 5 6 3 6 1
Surname307 Name307 7 10 3 10 3 2
Surname308 Name308 10 1 6 6 7 1
Surname309 Name309 6 1 6 9 10 10
Surname310 Name310 4 3 7 10 5 3
Surname311 Name311 6 4 8 3 7 6
Surname312 Name312 7 7 7 5 7 10
Surname313 Name313 1 6 7 6 3 6
Surname314 Name314 4 1 5 5 5 4
Surname315 Name315 3 5 5 7 9 4
Surname316 Name316 4 8 5 1 4 9
Surname317 Name317 5 7 4 10 9 1
Surname318 Name318 4 1 4 7 8 5
Surname319 Name319 3 9 10 1 6 5
Surname320 Name320 8 2 9 4 10 3
Surname321 Name321 2 1 8 4 2 10
Surname322 Name322 6 1 2 8 2 6
Surname323 Name323 3 5 2 5 2 4
Surname324 Name324 1 7 7 1 4 1
Surname325 Name325 4 3 2 1 4 3
Surname326 Name326 1 1 8 1 9 9
Surname327 Name327 3 1 10 5 1 8
Surname328 Name328 3 6 8 5 9 2
Surname329 Name329 3 3 10 5 4 3
Surname330 Name330 7 2 8 8 10 9
Surname331 Name331 8 6 8 10 8 1
Surname332 Name332 8 2 6 4 3 2
Surname333 Name333 5 7 7 9 8 9
Surname334 Name334 4 9 5 1 8 1
Surname335 Name335 3 6 8 6 5 8
Surname336 Name336 2 6 1 2 7 6
Surname337 Name337 1 4 8 8 7 8
Surname338 Name338 6 10 1 9 1 7
Surname339 Name339 7 8 4 10 4 2
Surname340 Name340 5 7 9 7 7 3
Surname341 Name341 3 2 7 9 3 7
Surname342 Name342 2 3 10 1 9 5
Surname343 Name343 1 7 3 7 6 8
Surname344 Name344 1 5 5 1 10 7
Surname345 Name345 4 2 2 10 7 10
Surname346 Name346 8 4 7 6 5 5
Surname347 Name347 1 7 8 4 8 8
Surname348 Name348 8 6 10 10 9 8
Surname349 Name349 9 8 2 1 7 3
Surname350 Name350 8 2 3 1 5 1
Surname351 Name351 6 2 6 1 4 6
Surname352 Name352 8 6 2 8 7 10
Surname353 Name353 1 7 7 7 4 5
Surname354 Name354 8 5 4 4 1 10
Surname355 Name355 9 7 8 4 8 4
Surname356 Name356 3 10 2 7 9 6
Surname357 Name357 3 8 3 4 2 4
Surname358 Name358 7 2 2 3 10 10
Surname359 Name359 7 1 8 9 4 1
Surname360 Name360 8 2 2 7 3 7
Surname361 Name361 8 5 8 8 5 7
Surname362 Name362 8 4 9 1 5 7
Surname363 Name363 2 4 3 10 7 9
Surname364 Name364 9 6 8 9 8 7
Surname365 Name365 6 5 7 2 10 7
Surname366 Name366 4 6 6 6 6 8
Surname367 Name367 6 9 8 5 5 7
Surname368 Name368 1 6 7 1 7 10
Surname369 Name369 9 8 5 4 9 7
Surname370 Name370 10 10 7 2 3 1
Surname371 Name371 10 7 4 3 8 10
Surname372 Name372 2 6 8 5 5 9
Surname373 Name373 2 5 2 1 8 3
Surname374 Name374 1 5 8 8 4 3
Surname375 Name375 2 1 8 9 7 7
Surname376 Name376 2 4 7 7 5 9
Surname377 Name377 3 9 9 8 10 1
Surname378 Name378 3 4 3 7 3 5
Surname379 Name379 6 9 3 5 2 8
Surname380 Name380 4 3 4 1 1 7
Surname381 Name381 2 3 10 2 4 1
Surname382 Name382 2 5 10 3 8 10
Surname383 Name383 4 3 6 7 5 10
Surname384 Name384 1 5 9 4 4 8
Surname385 Name385 4 7 3 10 4 2
Surname386 Name386 5 3 8 2 6 7
Surname387 Name387 2 1 10 2 6 8
Surname388 Name388 5 3 1 4 1 9
Surname389 Name389 2 7 8 4 1 6
Surname390 Name390 8 9 10 2 8 8
Surname391 Name391 9 3 1 9 8 6
Surname392 Name392 2 3 8 10 6 5
Surname393 Name393 1 9 10 1 9 2
Surname394 Name394 7 1 7 4 8 8
Surname395 Name395 4 2 2 2 4 8
Surname396 Name396 8 10 3 3 4 3
Surname397 Name397 7 7 5 6 2 9
Surname398 Name398 2 3 1 4 4 2
Surname399 Name399 6 7 10 8 5 8
Surname400 Name400 2 5 6 4 5 7
Surname401 Name401 4 10 9 10 3 6
Surname402 Name402 2 8 6 8 5 3
Surname403 Name403 7 2 9 8 3 5
Surname404 Name404 7 1 8 1 6 7
Surname405 Name405 8 10 6 6 2 10
Surname406 Name406 8 4 2 8 2 2
Surname407 Name407 10 2 1 6 3 6
Surname408 Name408 7 9 3 8 1 4
Surname409 Name409 10 4 2 1 7 5
Surname410 Name410 9 4 4 2 3 3
Surname411 Name411 1 6 7 6 1 1
Surname412 Name412 1 10 1 7 8 1
Surname413 Name413 5 2 8 3 4 8
Surname414 Name414 5 10 9 2 7 8
Surname415 Name415 8 7 7 8 10 8
Surname416 Name416 9 9 10 8 5 7
Surname417 Name417 9 1 9 2 8 2
Surname418 Name418 3 3 6 2 6 6
Surname419 Name419 7 7 10 7 8 3
Surname420 Name420 5 9 10 9 9 4
Surname421 Name421 5 3 1 3 9 10
Surname422 Name422 2 7 7 1 4 4
Surname423 Name423 9 3 3 7 10 4
Surname424 Name424 3 7 2 1 2 3
Surname425 Name425 8 2 1 7 4 7
Surname426 Name426 8 10 2 6 8 5
Surname427 Name427 2 1 5 7 10 10
Surname428 Name428 10 6 3 7 9 6
Surname429 Name429 1 8 10 6 7 3
Surname430 Name430 2 5 2 8 6 8
Surname431 Name431 9 5 4 10 4 5
Surname432 Name432 2 3 6 8 5 9
Surname433 Name433 10 6 7 2 1 6
Surname434 Name434 1 2 3 6 7 7
Surname435 Name435 8 2 4 10 4 3
Surname436 Name436 4 5 6 7 8 6
Surname437 Name437 7 1 2 9 5 6
Surname438 Name438 10 3 3 1 6 1
Surname439 Name439 7 1 4 7 7 4
Surname440 Name440 5 3 9 8 3 3
Surname441 Name441 2 3 10 3 5 1
Surname442 Name442 4 4 8 1 6 1
Surname443 Name443 4 3 8 8 7 5
Surname444 Name444 4 7 6 3 3 4
Surname445 Name445 9 7 9 2 3 6
Surname446 Name446 8 9 8 10 7 2
Surname447 Name447 7 8 8 3 7 3
Surname448 Name448 4 6 5 4 3 5
Surname449 Name449 7 8 7 4 4 6
Surname450 Name450 7 10 10 6 4 9
Surname451 Name451 2 3 2 3 4 7
Surname452 Name452 3 4 6 6 2 9
Surname453 Name453 7 1 1 4 10 8
Surname454 Name454 10 6 4 5 5 6
Surname455 Name455 9 4 6 2 4 8
Surname456 Name456 3 1 4 10 1 5
Surname457 Name457 2 1 2 8 1 10
Surname458 Name458 9 2 6 8 7 4
Surname459 Name459 6 4 1 3 7 9
Surname460 Name460 5 8 8 6 5 1
Surname461 Name461 2 1 1 8 4 2
Surname462 Name462 6 8 10 6 2 9
Surname463 Name463 6 3 5 5 6 4
Surname464 Name464 10 1 7 2 7 10
Surname465 Name465 8 10 5 6 6 3
Surname466 Name466 8 6 6 2 6 1
Surname467 Name467 9 1 9 5 3 10
Surname468 Name468 4 10 2 2 8 4
Surname469 Name469 4 10 3 4 7 4
Surname470 Name470 4 1 5 1 10 4
Surname471 Name471 7 1 3 7 9 6
Surname472 Name472 3 4 7 5 6 5
Surname473 Name473 6 5 9 8 9 7
Surname474 Name474 8 7 3 1 2 6
Surname475 Name475 1 4 10 3 9 6
Surname476 Name476 6 9 1 5 8 2
Surname477 Name477 7 7 2 7 9 4
Surname478 Name478 8 9 4 8 9 2
Surname479 Name479 6 7 3 9 3 4
Surname480 Name480 1 7 9 7 7 6
Surname481 Name481 7 1 6 2 10 8
Surname482 Name482 5 1 8 7 1 2
Surname483 Name483 6 2 9 9 4 4
Surname484 Name484 3 4 5 8 8 2
Surname485 Name485 4 8 6 8 5 2
Surname486 Name486 4 1 1 6 10 8
Surname487 Name487 9 6 10 6 3 9
Surname488 Name488 5 9 7 1 3 1
Surname489 Name489 5 2 4 6 5 3
Surname490 Name490 1 9 4 4 9 2
Surname491 Name491 2 7 7 7 3 10
Surname492 Name492 1 10 2 1 1 8
Surname493 Name493 4 7 1 7 4 9
Surname494 Name494 6 3 5 5 3 3
Surname495 Name495 8 9 7 8 5 2
Surname496 Name496 5 6 7 8 5 7
Surname497 Name497 2 8 6 7 1 4
Surname498 Name498 10 4 2 6 2 9
Surname499 Name499 3 5 6 5 8 7
Surname500 Name500 8 8 4 5 9 5
Surname501 Name501 4 3 5 1 7 6
Surname502 Name502 2 7 3 5 5 6
Surname503 Name503 3 10 3 2 6 9
Surname504 Name504 1 3 7 9 6 1
Surname505 Name505 7 10 8 1 10 7
Surname506 Name506 3 8 10 2 3 8
Surname507 Name507 9 9 8 7 5 6
Surname508 Name508 6 9 10 10 2 8
Surname509 Name509 4 7 2 6 4 7
Surname510 Name510 8 6 8 5 5 8
Surname511 Name511 8 1 7 6 2 8
Surname512 Name512 7 2 8 5 3 7
Surname513 Name513 2 5 8 2 3 8
Surname514 Name514 2 7 8 1 7 4
Surname515 Name515 6 8 5 4 4 7
Surname516 Name516 1 5 5 10 9 4
Surname517 Name517 9 1 7 3 4 1
Surname518 Name518 1 10 5 6 4 10
Surname519 Name519 9 6 4 10 3 8
Surname520 Name520 1 8 4 3 10 5
Surname521 Name521 4 4 9 1 5 8
Surname522 Name522 3 3 6 5 3 2
Surname523 Name523 2 9 4 7 1 8
Surname524 Name524 10 1 5 5 5 8
Surname525 Name525 3 1 2 7 9 2
Surname526 Name526 1 6 1 3 10 1
Surname527 Name527 3 10 5 7 3 1
Surname528 Name528 4 5 4 3 9 4
Surname529 Name529 5 4 7 6 4 10
Surname530 Name530 10 9 9 1 8 4
Surname531 Name531 7 6 5 4 4 7
Surname532 Name532 1 10 10 4 5 2
Surname533 Name533 4 3 8 4 1 1
Surname534 Name534 5 1 3 8 3 5
Surname535 Name535 6 5 3 1 3 2
Surname536 Name536 2 3 2 1 1 8
Surname537 Name537 7 1 1 7 2 9
Surname538 Name538 5 2 9 6 3 1
Surname539 Name539 3 7 8 8 6 8
Surname540 Name540 1 9 4 10 9 10
Surname541 Name541 5 10 8 9 2 3
Surname542 Name542 10 3 3 10 8 1
Surname543 Name543 1 9 10 4 4 1
Surname544 Name544 6 10 3 2 9 6
Surname545 Name545 4 4 7 5 10 3
Surname546 Name546 4 8 2 2 2 2
Surname547 Name547 2 6 10 7 6 10
Surname548 Name548 9 3 9 7 8 7
Surname549 Name549 8 8 5 3 4 9
Surname550 Name550 8 4 2 2 5 8
Surname551 Name551 6 6 4 1 6 1
Surname552 Name552 10 10 7 9 3 8
Surname553 Name553 1 10 4 3 4 6
Surname554 Name554 8 7 7 1 7 3
Surname555 Name555 8 2 4 3 5 9
Surname556 Name556 10 1 1 3 1 1
Surname557 Name557 7 8 7 9 8 9
Surname558 Name558 10 9 6 7 2 4
Surname559 Name559 6 5 10 6 4 9
Surname560 Name560 2 6 9 1 4 5
Surname561 Name561 7 7 6 9 9 2
Surname562 Name562 8 9 9 4 6 7
Surname563 Name563 9 9 10 8 1 8
Surname564 Name564 8 2 10 1 8 10
Surname565 Name565 9 4 7 3 2 6
Surname566 Name566 2 7 5 3 3 2
Surname567 Name567 4 2 1 4 10 4
Surname568 Name568 6 2 9 4 8 6
Surname569 Name569 9 4 5 2 3 2
Surname570 Name570 6 7 9 6 10 6
Surname571 Name571 5 5 8 4 3 10
Surname572 Name572 2 7 7 8 5 10
Surname573 Name573 8 4 2 6 5 7
Surname574 Name574 1 5 7 2 4 8
Surname575 Name575 2 1 4 3 8 7
Surname576 Name576 3 8 2 5 10 6
Surname577 Name577 7 3 9 9 2 1
Surname578 Name578 10 1 10 5 4 10
Surname579 Name579 1 10 2 3 5 6
Surname580 Name580 9 4 1 10 2 3
Surname581 Name581 7 10 10 1 6 7
Surname582 Name582 8 3 5 7 10 3
Surname583 Name583 8 2 3 6 3 3
Surname584 Name584 9 7 7 5 2 8
Surname585 Name585 5 10 4 7 7 6
Surname586 Name586 5 8 1 7 2 3
Surname587 Name587 2 10 6 3 7 1
Surname588 Name588 5 4 1 9 6 3
Surname589 Name589 3 4 2 8 1 6
Surname590 Name590 6 3 8 2 6 6
Surname591 Name591 4 2 7 9 2 2
Surname592 Name592 3 1 10 1 5 3
Surname593 Name593 8 7 10 7 10 9
Surname594 Name594 8 7 5 1 5 4
Surname595 Name595 5 8 8 5 1 10
Surname596 Name596 5 10 4 10 10 6
Surname597 Name597 5 6 2 9 6 5
Surname598 Name598 3 2 10 9 1 5
Surname599 Name599 7 10 3 10 5 10
Surname600 Name600 2 4 8 4 4 5
Surname601 Name601 5 8 1 1 7 5
Surname602 Name602 9 8 7 4 3 5
Surname603 Name603 7 9 1 10 8 3
Surname604 Name604 5 7 7 4 9 2
Surname605 Name605 7 5 6 5 9 7
Surname606 Name606 9 1 2 7 5 9
Surname607 Name607 5 3 6 5 10 3
Surname608 Name608 8 3 8 9 4 6
Surname609 Name609 9 3 7 5 10 8
Surname610 Name610 8 2 9 10 5 2
Surname611 Name611 9 5 10 1 6 2
Surname612 Name612 4 10 5 2 6 5
Surname613 Name613 7 10 8 5 6 7
Surname614 Name614 4 9 2 1 7 7
Surname615 Name615 1 4 2 5 10 3
Surname616 Name616 10 5 9 5 7 6
Surname617 Name617 4 8 7 6 6 4
Surname618 Name618 1 7 7 2 8 1
Surname619 Name619 10 4 7 3 6 6
Surname620 Name620 10 8 8 4 10 2
Surname621 Name621 10 9 1 3 3 1
Surname622 Name622 7 3 3 3 2 8
Surname623 Name623 10 8 4 9 1 10
Surname624 Name624 10 10 6 2 5 6
Surname625 Name625 7 7 10 3 5 10
Surname626 Name626 8 10 8 5 7 7
Surname627 Name627 3 8 5 7 5 6
Surname628 Name628 8 7 3 9 3 8
Surname629 Name629 3 2 7 9 4 1
Surname630 Name630 6 9 4 5 6 6
Surname631 Name631 2 4 8 3 6 2
Surname632 Name632 1 6 2 8 6 3
Surname633 Name633 6 4 5 1 4 9
Surname634 Name634 4 9 5 2 1 4
Surname635 Name635 4 9 7 7 9 8
Surname636 Name636 3 9 3 9 5 1
Surname637 Name637 8 6 2 2 9 8
Surname638 Name638 7 6 6 4 4 1
Surname639 Name639 7 6 6 6 2 8
Surname640 Name640 2 10 4 4 10 7
Surname641 Name641 6 4 7 5 5 8
Surname642 Name642 1 7 9 5 4 8
Surname643 Name643 8 3 10 7 6 6
Surname644 Name644 9 10 6 6 1 4
Surname645 Name645 2 7 7 5 7 6
Surname646 Name646 8 4 6 5 6 6
Surname647 Name647 2 2 1 9 3 7
Surname648 Name648 3 2 2 8 9 10
Surname649 Name649 8 6 5 8 6 1
Surname650 Name650 2 10 3 3 3 8
Surname651 Name651 1 7 10 4 8 10
Surname652 Name652 3 3 7 5 5 4
Surname653 Name653 6 10 7 9 4 10
Surname654 Name654 3 4 9 8 7 2
Surname655 Name655 1 10 9 6 3 6
Surname656 Name656 3 10 9 3 9 7
Surname657 Name657 8 10 5 2 6 6
Surname658 Name658 3 4 1 1 3 6
Surname659 Name659 4 4 7 4 1 10
Surname660 Name660 10 3 1 9 3 9
Surname661 Name661 2 7 1 1 2 6
Surname662 Name662 6 3 2 1 1 4
Surname663 Name663 5 1 9 4 6 4
